account_id,user_id,currency,created_at,account_type
ef5f5286cc72c2072ed4c8e3290cec25,e57eb591f472416f122cf1ae5a39d27e,LTC,2017-04-20 19:40:55.000000,CryptoAccount
0813da82a58038847be3d07abab37a7c,2fd4581f2a431aaeba734f78d6d9d595,BTC,2013-11-03 08:12:13.000000,CryptoAccount
12770202575af97eae2f2bd630f64f69,9ac64944bd1cafbf34b79cb9e997467a,BTC,2015-12-30 19:17:47.000000,CryptoAccount
22e888e4a45c248a985d9d6510082948,0bf6b91763432a35e94e6f1e19c9dee2,LTC,2017-05-22 21:04:50.000000,CryptoAccount
bf709d45c69bfc22a78b91c2e750fea7,db1eefb821156e4ec8dc150db3d0c9df,BTC,2017-05-02 07:19:58.000000,VaultAccount
f944adf930bcfc1ee867c78f06b24b9d,242a62a8d856f186ccae90c99661b525,USD,2017-08-30 04:12:32.000000,FiatAccount
933435c3cbbe508a2596973484784b9b,de4ced9f42842ab5d8f1a81b5ee278b7,USD,2017-07-11 17:30:02.000000,FiatAccount
37a4422074ae4109588f0558a9c73ace,cbdabb7a27ee6cee781415a06c6c5d13,BTC,2016-08-09 13:25:09.000000,VaultAccount
37542efc1b3a1f13d8bd74367075336d,8d216dcf6e8374bc95c6ac82a5e38ef7,BTC,2017-06-27 19:37:58.000000,CryptoAccount
7472efe2e6739284da345f3a06cb4bdc,b200203a377aa50d31dd589ce5cc018f,BTC,2017-01-23 07:46:03.000000,CryptoAccount
a037140f96968914047143aac9bf6fe7,5fae748684a430e684d6338e8b1d7856,BTC,2016-10-30 09:59:51.000000,CryptoAccount
df8d731a4a1969dc141a7e14df4130ca,829715eee61c064f4fd2ad1e05f9175f,LTC,2017-04-20 09:47:03.000000,CryptoAccount
2dd2e10d7a11bf719bb063665750c0ca,36555fa5fce6c254eddf3248f6053447,GBP,2016-08-25 12:21:52.000000,FiatAccount
7eb8f54950c1c0c539b282382752f3fe,e7b8c22b6ee1799d212ac77a049d2da6,ETH,2017-06-17 00:09:58.000000,CryptoAccount
36a400a0a9bd2fa55486175e0f2b207c,f217e3b3bf80478d9e20a7af394c22c6,ETH,2017-10-09 11:52:48.000000,CryptoAccount
9f371348a758fff414feba3de28aaf25,79ab10f190a4931694ec9ef87e448197,BTC,2015-12-23 04:28:59.000000,VaultAccount
e2d67e970016267594a455fe841e897e,f6258426715df2724e664d8f97f2c44b,LTC,2017-05-19 06:09:02.000000,CryptoAccount
e372af6b663ec448799a39bcd6033fb1,f6b56b1de9190cd961755cf462c5ddfe,BTC,2016-05-03 23:45:27.000000,CryptoAccount
2019270e1b8470d0f0ca7f199fa2b556,88e61ed056efca0a866ec84d5c16dca2,BTC,2017-03-30 07:45:19.000000,VaultAccount
1d8241da65fdcc2d208751fdad8e5c25,5cc3c3f20a7516e3fa020b6a9b8559fd,BTC,2017-10-02 17:59:42.000000,VaultAccount
2a234a458e10a12a9bb92846660ccd42,43b17ef4b7d2dac2197e9622febcdb89,LTC,2017-04-19 22:49:45.000000,CryptoAccount
2202bf80ec6410ccc0a58d74442c6646,017d8ca46b3cc4c8e8da5d5df0e5abe3,BTC,2017-01-11 15:41:23.000000,CryptoAccount
d01f0513113da3572c8206973d69fcf9,6c88fdce045bbe21deee491cf84fd371,LTC,2017-04-19 22:17:54.000000,CryptoAccount
ccb478a42df001766ac015e2a362c823,47a0e9934e3c36a8274685d5c1308ea3,ETH,2017-07-26 06:53:43.000000,CryptoAccount
153298d913dc6265cd808b812e675662,3de77a364a8a7edb3f3429f4cdbf50b6,BTC,2015-06-04 06:49:12.000000,VaultAccount
b48e6d73b13d6c5524ddd8d186c51bc8,c1942d1b8570cb346c3b55f28e0ddad5,LTC,2017-07-17 14:37:55.000000,CryptoAccount
059c5c429950b8b5f5d27d54c871c7d3,a53f16ad42a5cd357c8ec135f4ca1d85,BTC,2017-02-10 18:35:59.000000,VaultAccount
396560fde0e9b9935aedd229ff8d7850,5bc1f7e1864d5584095fe4784f735c38,EUR,2017-05-25 09:18:40.000000,FiatAccount
3ba07944f0570570ac4db3105ae37731,70584a4e11803adc0fdcca96b56f4bf6,BTC,2013-12-14 01:17:00.000000,CryptoAccount
1bc3931dd70414e13c162f8812372650,10022a67d99e53c2d78314b2eb83ec07,BTC,2016-10-06 19:31:26.000000,VaultAccount
f769fffcddb71a56e66c2e6d4c590bed,2143bfcb2f6ab5ba4d60de001c97933e,BTC,2017-04-25 11:56:49.000000,VaultAccount
b5b76980f187a596c6ac93f470aea3b2,2728a6faf3a6de76ca9fcb456f583dc8,BTC,2017-04-05 16:46:11.000000,CryptoAccount
9c8d6fee51c0352ca0c5b99761188551,d19318a41a3404eb7d905c06d4bd4260,BTC,2017-08-23 02:47:52.000000,VaultAccount
23eb445cdd5cb6ecdf72a9e55cb4e51a,75021bc60237c97c7fffae320c176e37,ETH,2017-08-13 01:28:29.000000,CryptoAccount
a309138121173a41a975ae0db932f56e,e921f94e5e1943a6185518751eda618e,BTC,2016-09-30 01:32:31.000000,CryptoAccount
4286e81d453296471c6778b0ee35fcf6,29008caf4054fdd324e3875c0aa3558a,USD,2017-10-05 02:01:30.000000,FiatAccount
f63428da29b7861bfd6e41458e504fa6,cbd900c921c337d38b0a66b610997db9,BTC,2017-05-30 21:04:32.000000,VaultAccount
ca58758fe75cbf28523cdb1c3d972bef,3ce433f1c191f34597ad7dae8b60c12c,EUR,2016-06-16 23:14:10.000000,FiatAccount
ad4fbd9862a13f69130ecbf2e2e748a2,306be2333f47737da1e6bd2ad2dd75d0,LTC,2017-01-23 01:17:53.000000,CryptoAccount
23b5b1419b5aa45ade7b780b3d816158,a6f7b4d568976e9e702c197601ee3e68,LTC,2017-06-20 18:31:39.000000,CryptoAccount
e8eb7a6147ad81f97083f161fef004b9,2964033fd7280ee5bc4596d94e2a805b,USD,2017-02-20 22:39:36.000000,FiatAccount
f726a481a9dd4374c7cde6606d3bd6e1,ac5ee3dc4a38cac5cfaf49c80826e3d1,BTC,2016-03-29 22:07:21.000000,VaultAccount
f072f4bc11f5303bf382c8cfdd3166c4,25f0fccfa552efcf037053325136c23c,LTC,2017-08-29 18:16:36.000000,CryptoAccount
521576bc894128a77c1b40a6ca39def2,80e844453749708db0eebc3d2d7ad7ce,BTC,2017-04-27 00:49:09.000000,VaultAccount
4184424495f511834290e5e9be8aebde,28c6d03ee715c3c6a69cd960ca404123,BTC,2016-07-09 02:04:41.000000,VaultAccount
6de48968c2570e8b93f0e5bec5953057,c2b8ccffdd0a79fcb91ac1e3017bd2ff,BTC,2017-06-07 21:49:21.000000,CryptoAccount
8ef9b2f13da94aa307e1c3a958b33f91,91c0fbdf1ce91ab3b175a5510f9a8a63,BTC,2016-10-21 00:27:17.000000,CryptoAccount
7580e6a279aa0858d3709c36646bb0b1,911bea3ba631a25890c52599fbd4a0ce,LTC,2017-04-20 15:36:57.000000,CryptoAccount
e4395ad732f1d7ae10c96296a304cd7a,dbdee3b221edcb297fa07ba96e811dbd,LTC,2017-04-21 02:04:15.000000,CryptoAccount
d12b199a7690e7c622d12da66aa04b01,7cbaaf49a0636c3cf1c26230b407f378,EUR,2016-12-09 17:20:30.000000,FiatAccount
d5b982a344c9e2256eaf83e82946bdef,b0c87b63a65b7bb1446ed2023990c2af,BTC,2017-07-06 19:23:44.000000,CryptoAccount
5901918078841a3c7b94f800bdff8239,93aba76f4e4d8910b1868d9dbf7f8b84,BTC,2015-06-12 18:04:47.000000,CryptoAccount
92129095274d3dc295f610d3fbca0eac,f14a85b26512997ddae7f8cd2ffca934,LTC,2017-09-03 19:46:05.000000,CryptoAccount
27a9892694d0067f1603c7c41df90f0d,3c87d1f6b6f1a46e3aa063f254d902f8,BTC,2017-09-15 22:31:32.000000,CryptoAccount
2ce861e7d6fbf1adab499a2c62796f17,6447cad9323c0e90f7687f128d7634b4,USD,2014-12-02 01:16:44.000000,FiatAccount
fafbba3eb75fe14add336372f0004daf,c76e6282058c25579937c956f145bb75,ETH,2017-07-31 03:15:01.000000,CryptoAccount
5f11bfe7662c0ed37b3e325bb1bc96ad,85f18f1fe75ebda7f465e64c04f6504a,LTC,2017-04-19 14:02:42.000000,CryptoAccount
58c6fd206ee5e0c3c6cb3b8a2de9988a,3363e29ba4ed27ac97959febf68b0938,BTC,2017-08-10 18:38:30.000000,VaultAccount
92be8e7f4e64df82c8557d36d4e152b5,50664996354b1a5eddf36adcf2028efa,BTC,2014-11-07 16:25:09.000000,VaultAccount
d3c4832926229bf1f5499ccadba77437,cd4f00a2a2266f2ae2e927b11a906b14,EUR,2017-03-17 11:40:30.000000,FiatAccount
f84f161a552e2f344cd7ac9cb6a73aba,13aa00d8936560ebefe35c5c57871739,BTC,2017-06-25 07:03:00.000000,CryptoAccount
b2b7f5e8d00227a2c55fbfce90c2ae8e,53a9176f484d28bacfed80c53c6ebbe1,LTC,2017-09-09 11:32:03.000000,CryptoAccount
f3246b692edd1859ebc21b74d72d48e5,ac816c90ecac1fb4671f3cedddf8e1a3,ETH,2017-05-19 18:11:32.000000,CryptoAccount
e48e480459d928606daa65435922a504,6db5227083eb5f05730567aac8633598,BTC,2017-07-25 18:02:51.000000,VaultAccount
478c9bb1f075f76ad88b9fc035f98ad4,c1270c2d39255086ce386b62582811bf,BTC,2017-07-19 21:06:28.000000,CryptoAccount
2503a75d604576a0a250d4a6547e5829,3433956c9a994dff97079f1eb8718ab9,BTC,2016-10-06 23:38:48.000000,VaultAccount
bcfd1cc667b847bc930f957907b1f68a,a715233f5986022abd4781be63ae4df2,LTC,2017-04-19 16:39:38.000000,CryptoAccount
695298bbf643f8b4d479c505d9f06dda,f8e2961d207af649a9cfdb9e0472ca20,ETH,2017-05-16 00:11:09.000000,CryptoAccount
0084038a1dd2bf5c08b43cb98bebf350,18bc4d3962ea1876b8dbf03271866046,BTC,2015-10-05 16:37:05.000000,VaultAccount
e8a89fe266bb57a09c5ea98920afa6b7,206a3d09392c36500e98a45cd1bfd1ce,LTC,2017-07-12 02:26:07.000000,CryptoAccount
ce112b43fe2608dd0cd7b41d5e493673,7c435a996564fb9ea5256311669b9af7,BTC,2017-09-03 08:27:38.000000,CryptoAccount
e87162599d5a867f0943e57b857d2f29,6be14ae41aef33323b24ed1f1d428668,BTC,2016-12-17 18:51:07.000000,VaultAccount
f1a2acd206281e26b4ff413cc9669e51,3518c95b738815792e3d8258f72fdf4e,BTC,2017-08-31 12:02:30.000000,CryptoAccount
7d830552d3f75662f009124b9c63cc78,f914870c171e1e796e2a7815f451ae9e,BTC,2014-08-09 01:16:19.000000,CryptoAccount
59724056f59648c25f7e9cf34b07c78c,28c6d03ee715c3c6a69cd960ca404123,BTC,2016-07-09 01:47:37.000000,VaultAccount
981c3829fbdb3180ab4ef934b5e57900,f508e4eae5480514ea3e13f730832fc1,ETH,2017-02-12 20:29:36.000000,CryptoAccount
0a4a3399dac016b003ce1ba300ae9db5,4a06ae4f7b47874e85493a27dc2f42df,ETH,2017-08-08 17:43:51.000000,CryptoAccount
9390edd26928f184d1506758b4d1c75a,990f2106c25e4b9efb520065d31aff04,BTC,2015-06-19 07:06:11.000000,CryptoAccount
05354d29a9d37100137a814c034350fd,008793c7766aa0e097dfe58427b89389,BTC,2017-08-16 16:27:39.000000,CryptoAccount
