ledger_entry_id,created_at,account_id,amount
9e341acdd92537be85bef93b6fec313b,2014-03-27 19:35:30.000000,739aa965b538fe4973127223acd4311f,-0.01916000
c539255b8fefb2008b24c8e52caa1c61,2017-02-23 15:47:29.000000,620ef7da2d1f798eb825f05b8471f58f,0.00530000
bf4dc8c8cc7896ef5dcbc97c234e678f,2014-03-04 22:47:29.000000,6d7466f696fe307ca285a126dc07f5e7,-0.00148700
98baf52be994132c616a4f3549b33403,2017-07-17 10:03:18.000000,6464c8e7cded6062794fa2dddeed0f76,0.00200000
e7cbd5ef96192357c054fad42dcf50b4,2017-02-21 01:15:59.000000,a8b4b92a3ea6906f148041e61ff2f086,0.00020291
5e91058d97cbf1b5ba9e96a22b2e35e9,2015-05-20 10:32:47.000000,fe8cde15d26c81d78b79fe1ad14fc0c9,0.00129645
3d09579b8afb1cfb62cf04a66f4a0aaa,2015-12-06 02:32:53.000000,6d7466f696fe307ca285a126dc07f5e7,-0.77000000
3786211589214c571b0d34391d481f7f,2015-05-28 01:23:24.000000,5062168f0249ac3151aa23d3fd6d59aa,-0.13858191
c82f24aaa1edbcda0e37d79aec49635d,2016-06-04 01:00:00.000000,c0aef11b5e996c7544bccfdf92f473d4,-0.00010000
ccb78e11e64ec723d390ede15aeebee8,2016-05-18 18:21:46.000000,81b4da8cfa04c206e0aca286ad765f03,-0.49000000
78b14ad976b4c54798bf8ff01cc6903f,2017-02-06 05:10:51.000000,44bd76c99a1774d43c68a299faf806aa,0.04887909
095f58ee107e311c7200d5384364e974,2016-01-06 06:41:14.000000,014653b27187340568c22ab26956aba6,0.06840000
279dc52187daff9a94651f534bfecb29,2016-01-14 11:04:30.000000,8eb5fdddb6bee40cbb4558551db72370,0.00602959
11f18a96d38a0ea01eeafb670b84d5d3,2014-08-19 19:23:32.000000,6393728e36e4021bf12e68c4d4c81d7c,1.00000000
b4382f7153a82a54e4ca530614d1615b,2016-08-29 12:05:03.000000,d9a9c31c245a33edd36adf3bd5e259d0,0.05223114
bae109e1e7b89928191388f7d6fb8f30,2016-01-05 02:05:44.000000,014653b27187340568c22ab26956aba6,0.02830000
be8cd26b5a0c7291bdc49fc57e427bcc,2017-03-02 10:23:20.000000,78f21c82cb11cbc00cafd01c83d14efd,18.22782242
be1fdc4ec9267014bf47c63cd10762b0,2016-03-11 06:01:37.000000,014653b27187340568c22ab26956aba6,-0.00970000
2967c8ab246878b8cc6bf2a5a89711bc,2017-05-06 22:13:52.000000,7ce32e3b76387ef8ecea46098eebcba1,-0.12679965
fcbaa158c3948b9bb43196209e68ddd4,2017-01-13 16:04:22.000000,d4e6aa90b68dd3a37fb6f5e915888227,-0.00368330
5c91045337c23312ea48a8e92f147717,2017-03-25 17:16:11.000000,a1a81c69f3dd9d100c32a366488a499b,0.00066398
6b9689df8be6ddc8eff9584424ca5aa9,2016-08-13 19:45:40.000000,97a6f8a13901c75245ef99b6f1f1db43,-5.98444045
c516783122356828325ac4b6a711b738,2017-05-04 14:40:26.000000,c3acce70d8daead5e0dd3e79a723efd6,83.56651926
487b850d7631f98a24d2874ffb90399b,2017-05-31 02:45:23.000000,737313aa8867ef16313c3234167362e2,0.20381501
7ff3912b50a7429e59eb87edd5d051c3,2015-12-23 23:04:56.000000,8eb5fdddb6bee40cbb4558551db72370,0.05324158
